,firstName,lastName,player_id,team_id
203944,Julius,Randle,203944,1610612747
2216,Zach,Randolph,2216,1610612763
200755,JJ,Redick,200755,1610612746
203186,Willie,Reed,203186,1610612751
1626196,Josh,Richardson,1626196,1610612748
203085,Austin,Rivers,203085,1610612746
203460,Andre,Roberson,203460,1610612760
203148,Brian,Roberts,203148,1610612757
203922,Glenn,Robinson,203922,1610612754
101126,Nate,Robinson,101126,0
203080,Thomas,Robinson,203080,1610612751
200765,Rajon,Rondo,200765,1610612758
201565,Derrick,Rose,201565,1610612741
203082,Terrence,Ross,203082,1610612761
1626179,Terry,Rozier,1626179,1610612738
201937,Ricky,Rubio,201937,1610612750
204014,Damjan,Rudez,204014,1610612750
201575,Brandon,Rush,201575,1610612744
1626156,D'Angelo,Russell,1626156,1610612747
203135,Robert,Sacre,203135,1610612747
203960,JaKarr,Sampson,203960,1610612743
203471,Dennis,Schroder,203471,1610612737
2449,Luis,Scola,2449,1610612761
203118,Mike,Scott,203118,1610612737
200757,Thabo,Sefolosha,200757,1610612737
202338,Kevin,Seraphin,202338,1610612752
201196,Ramon,Sessions,201196,1610612764
202697,Iman,Shumpert,202697,1610612739
203613,Jonathon,Simmons,203613,1610612759
202713,Kyle,Singler,202713,1610612760
202388,Donald,Sloan,202388,1610612751
203935,Marcus,Smart,203935,1610612738
202397,Ish,Smith,202397,1610612755
2747,J.R.,Smith,2747,1610612739
201160,Jason,Smith,201160,1610612753
2746,Josh,Smith,2746,1610612745
203893,Russ,Smith,203893,0
203503,Tony,Snell,203503,1610612741
201578,Marreese,Speights,201578,1610612744
201168,Tiago,Splitter,201168,1610612737
203917,Nik,Stauskas,203917,1610612755
202362,Lance,Stephenson,202362,1610612763
1627293,Alex,Stepheson,1627293,1610612746
203950,Jarnell,Stokes,203950,0
2405,Amar'e,Stoudemire,2405,1610612748
201155,Rodney,Stuckey,201155,1610612754
203096,Jared,Sullinger,203096,1610612738
204002,Walter,Tavares,204002,1610612737
201952,Jeff,Teague,201952,1610612737
203141,Mirza,Teletovic,203141,1610612756
202066,Garrett,Temple,202066,1610612764
1891,Jason,Terry,1891,1610612745
202738,Isaiah,Thomas,202738,1610612738
202498,Lance,Thomas,202498,1610612752
203138,Hollis,Thompson,203138,1610612755
201574,Jason,Thompson,201574,1610612744
202691,Klay,Thompson,202691,1610612744
202684,Tristan,Thompson,202684,1610612739
201977,Marcus,Thornton,201977,1610612745
201229,Anthony,Tolliver,201229,1610612765
1626157,Karl-Anthony,Towns,1626157,1610612750
200782,PJ,Tucker,200782,1610612756
202323,Evan,Turner,202323,1610612738
1626167,Myles,Turner,1626167,1610612754
2757,Beno,Udrih,2757,1610612748
202685,Jonas,Valanciunas,202685,1610612761
2760,Anderson,Varejao,2760,1610612744
202349,Greivis,Vasquez,202349,1610612749
1626173,Rashad,Vaughn,1626173,1610612749
101111,Charlie,Villanueva,101111,1610612742
203943,Noah,Vonleh,203943,1610612757
202696,Nikola,Vucevic,202696,1610612753
2756,Sasha,Vujacic,2756,1610612752
2548,Dwyane,Wade,2548,1610612748
203079,Dion,Waiters,203079,1610612760
202689,Kemba,Walker,202689,1610612766
202322,John,Wall,202322,1610612764
203933,TJ,Warren,203933,1610612756
201228,CJ,Watson,201228,1610612753
201603,Sonny,Weems,201603,1610612756
2561,David,West,2561,1610612759
201566,Russell,Westbrook,201566,1610612760
202355,Hassan,Whiteside,202355,1610612748
203963,Shayne,Whittington,203963,1610612754
203952,Andrew,Wiggins,203952,1610612750
203912,CJ,Wilcox,203912,1610612746
101114,Deron,Williams,101114,1610612742
202682,Derrick,Williams,202682,1610612752
202343,Elliot,Williams,202343,0
101150,Lou,Williams,101150,1610612747
101107,Marvin,Williams,101107,1610612766
2590,Mo,Williams,2590,1610612739
1626159,Justise,Winslow,1626159,1610612748
203481,Jeff,Withey,203481,1610612762
1626174,Christian,Wood,1626174,0
1897,Metta,World Peace,1897,1610612747
201148,Brandan,Wright,201148,1610612763
1626153,Delon,Wright,1626153,1610612761
203100,Tony,Wroten,203100,0
203923,James,Young,203923,1610612738
1626202,Joe,Young,1626202,1610612754
201156,Nick,Young,201156,1610612747
201152,Thaddeus,Young,201152,1610612751
203469,Cody,Zeller,203469,1610612766
203092,Tyler,Zeller,203092,1610612738
